frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
107,1,box,0.9128,424.85,269.45,869.6,538.3,647.22,403.88,444.75,268.85,1,VISIBLE,0.0,0.01
107,2,ball,0.8138,995.23,442.72,1073.23,533.23,1034.23,487.97,78.0,90.51,3,VISIBLE,8.18,0.12
108,1,box,0.91,424.81,269.35,869.63,538.26,647.22,403.81,444.82,268.91,1,VISIBLE,-0.0,-0.05
108,2,ball,0.8237,1002.88,442.57,1081.96,533.04,1042.42,487.8,79.08,90.47,3,VISIBLE,8.19,-0.08
109,1,box,0.9058,424.8,269.29,869.66,538.24,647.23,403.76,444.86,268.95,1,VISIBLE,0.01,-0.04
109,2,ball,0.7781,1010.97,442.26,1091.04,532.63,1051.0,487.45,80.07,90.37,3,VISIBLE,8.47,-0.28
110,1,box,0.9079,424.81,269.26,869.67,538.24,647.24,403.75,444.86,268.97,1,VISIBLE,0.01,-0.02
110,2,ball,0.7018,1018.84,442.17,1099.88,532.49,1059.36,487.33,81.04,90.32,3,VISIBLE,8.39,-0.16
111,1,box,0.9101,424.84,269.26,869.62,538.19,647.23,403.73,444.78,268.93,1,VISIBLE,-0.0,-0.02
111,2,ball,0.7677,1026.13,441.95,1108.05,532.25,1067.09,487.1,81.92,90.3,3,VISIBLE,7.93,-0.21
112,1,box,0.9157,424.83,269.29,869.62,538.25,647.23,403.77,444.8,268.96,1,VISIBLE,-0.0,0.02
112,2,ball,0.6204,1034.45,442.4,1116.91,532.4,1075.68,487.4,82.46,90.0,3,VISIBLE,8.39,0.15
113,1,box,0.9185,424.76,269.3,869.64,538.32,647.2,403.81,444.88,269.02,1,VISIBLE,-0.02,0.04
113,2,ball,0.6429,1042.47,442.99,1125.55,532.8,1084.01,487.9,83.08,89.81,3,VISIBLE,8.35,0.39
114,1,box,0.9221,424.77,269.34,869.56,538.32,647.16,403.83,444.79,268.98,1,VISIBLE,-0.03,0.02
114,2,ball,0.737,1050.23,443.3,1134.29,533.42,1092.26,488.36,84.05,90.13,3,VISIBLE,8.28,0.44
115,1,box,0.918,424.74,269.29,869.53,538.28,647.14,403.78,444.78,268.99,1,VISIBLE,-0.03,-0.02
115,2,ball,0.7826,1057.55,443.11,1142.42,533.44,1099.98,488.27,84.87,90.33,3,VISIBLE,7.89,0.07
116,1,box,0.9171,424.74,269.26,869.52,538.25,647.13,403.75,444.78,269.0,1,VISIBLE,-0.01,-0.03
116,2,ball,0.731,1065.28,443.24,1150.33,533.1,1107.81,488.17,85.05,89.85,3,VISIBLE,7.84,-0.05
117,1,box,0.9198,424.74,269.21,869.54,538.24,647.14,403.73,444.8,269.02,1,VISIBLE,0.0,-0.03
117,2,ball,0.7555,1073.3,443.03,1159.15,533.1,1116.23,488.06,85.85,90.07,3,VISIBLE,8.25,-0.09
118,1,box,0.9153,424.76,269.27,869.5,538.27,647.13,403.77,444.74,268.99,1,VISIBLE,-0.01,0.02
118,2,ball,0.7831,1081.23,442.87,1167.74,533.06,1124.49,487.96,86.51,90.18,3,VISIBLE,8.26,-0.1
119,1,box,0.9167,424.78,269.27,869.48,538.25,647.13,403.76,444.7,268.97,1,VISIBLE,-0.0,-0.0
119,2,ball,0.8251,1088.79,442.56,1176.1,533.07,1132.44,487.81,87.31,90.51,3,VISIBLE,8.05,-0.13
120,1,box,0.9191,424.77,269.28,869.49,538.26,647.13,403.77,444.72,268.99,1,VISIBLE,-0.0,0.01
120,2,ball,0.7216,1097.17,443.03,1184.52,533.14,1140.85,488.08,87.34,90.11,3,VISIBLE,8.29,0.15
121,1,box,0.9227,424.75,269.24,869.53,538.28,647.14,403.76,444.79,269.04,1,VISIBLE,0.01,-0.0
121,2,ball,0.8151,1105.26,443.41,1193.27,533.86,1149.27,488.64,88.01,90.45,3,VISIBLE,8.38,0.43
